i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
30	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-737.97432060449	1.5	-0.538530259240225
31	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-931.448582415715	1.5	-0.991903577921591
32	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.77389033885205	0.0725806451612903	-0.752518923732533
33	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-930.94803468391	1.5	-1.07574702980788
34	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-4.49190999289507	0.0725806451612903	-0.0117534214642931
35	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.84485131235064	0.0725806451612903	-0.225148303725097
36	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.9812071924783	0.0725806451612903	-0.212807266978723
37	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.22984667780778	0.0725806451612903	-0.0768014888411948
38	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.12199253313824	0.0725806451612903	-1.92267857915411
39	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.46891740037912	0.0725806451612903	-2.33105116641463
40	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.90640345866572	0.0725806451612903	-1.59881610195343
41	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-737.770514458646	1.5	-0.707264530338337
42	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-928.472123203437	1.5	-0.253185450058202
43	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-931.336146271735	1.5	-0.122674731642665
44	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-925.163443535423	1.5	-3.57055864110073
45	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-737.3001978183	1.5	-0.0915475682253678
46	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-738.291401998371	1.5	-1.19734935026627
47	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-737.58799945014	1.5	-3.04692471843884
48	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.80769677221482	0.0725806451612903	-1.15669794981719
49	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-930.7348319338	1.5	-1.25694955077782
50	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-928.82631604445	1.5	-1.99960722323977
51	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.96545303818433	0.0725806451612903	-1.28245691118097
